Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
33024,8.400001,24531,18131,116,70822516
33152,8.392000,24620,18797,100,71153832
33280,8.420000,24204,18235,109,71460528
33408,8.479000,24206,19225,81,71799797
33536,8.514000,24752,21332,88,72119392
33664,8.689000,24680,24048,218,72348477
33792,8.554001,25133,18414,119,72571087
33920,8.667001,24830,18319,122,72846620
34048,8.630981,25200,17960,139,73174418
34176,8.748000,25287,19716,128,73440659
34304,8.964001,25522,20591,179,73736608
34432,8.994000,25484,18451,55,74069731
34560,9.067000,25683,20870,106,74366171
34688,9.080001,26128,18592,70,74635853
34816,9.109000,25687,19392,135,74969018
34944,9.117001,26307,20868,230,75203067
35072,9.143001,26402,18179,74,75499592
35200,9.194000,26271,21100,85,75810788
35328,9.267000,26433,21266,108,76180154
35456,9.275001,26868,18190,124,76457180
35584,9.286000,26810,18606,86,76717597
35712,9.278001,26935,19338,104,76982450
35840,9.414001,27614,20373,129,77290033
35968,9.415001,27161,20180,113,77609008
36096,9.403001,27202,19001,118,77895481
36224,9.524000,27336,22287,181,78191621
36352,9.537001,28127,20944,109,78400456
36480,9.567000,27749,23717,163,78697150
36608,9.579000,27814,19495,104,79040422
36736,9.402000,28015,24034,172,79366637
36864,9.462001,28097,23715,191,79756635
36992,9.463000,28223,23556,143,80018106
37120,9.569000,28329,21090,58,80382641
37248,9.505000,28492,22113,152,80683684
37376,9.628000,28608,21044,125,80987726
37504,9.704000,29355,24284,91,81224536
37632,9.633000,28844,19560,148,81550508
37760,9.724001,29019,23189,236,81877289
37888,9.690001,29089,21100,67,82162335
38016,9.795000,29361,23111,180,82509451
38144,9.768001,29545,22500,123,82778589
38272,9.773001,29659,21750,172,83053680
38400,9.928000,29629,23180,118,83282510
38528,9.924001,30299,24039,156,83553021
38656,9.897000,30056,28140,175,83819002
38784,9.971001,30082,20640,107,84094951
38912,10.087001,30918,28349,163,84494035
39040,10.023001,30451,24139,104,84760930
39168,10.047001,30446,26167,97,85113028
39296,10.049001,30546,25790,64,85363449
39424,10.069000,30705,22959,127,85728645
39552,10.229000,30884,21288,89,86049577
39680,10.195923,30923,24027,124,86400739
39808,10.210000,31411,22988,134,86669596
39936,10.228001,31237,27561,98,86965382
40064,10.286000,31423,25621,70,87237130
40192,10.268001,31445,24738,126,87542683
40320,10.339001,31771,22278,190,87838011
40448,10.379001,31781,26015,150,88120602
40576,10.401000,32062,26237,96,88425371
40704,10.461000,32048,24495,154,88735209
40832,10.517000,32633,27810,220,89010395
40960,10.532001,32643,24579,142,89432853
41088,10.613001,33144,24991,247,89780597
41216,10.610001,32813,25948,135,90201156
41344,10.701000,33556,27523,142,90437801
41472,10.696000,33213,25180,187,90817318
41600,10.693001,33114,26461,89,91102218
41728,10.787001,33399,25575,246,91448501
41856,10.814000,33520,26137,141,91846449
41984,10.931001,33563,27231,136,92301145
42112,10.966001,33886,25521,116,92623532
42240,10.937000,34218,29572,123,92831663
42368,11.059001,34469,26983,160,93150627
42496,11.061001,34313,27924,193,93416525
42624,11.067000,34462,26837,78,93719506
42752,11.053000,34484,26747,76,94052628
42880,11.181001,34863,25305,233,94407757
43008,11.163000,34980,27541,154,94868640
43136,11.201000,34922,26285,117,95181149
43264,11.239000,35245,27616,111,95644836
43392,11.269001,35434,27752,79,95928898
43520,11.304001,35890,27840,147,96220484
43648,11.464001,36071,27111,203,96552895
43776,11.383000,35920,28005,251,96951399
43904,11.437000,35896,31565,321,97273614
44032,11.474001,36176,25209,132,97580129
44160,11.624001,36938,29932,212,97853512
44288,11.542001,36105,29205,187,98158122
44416,11.569000,36590,27497,155,98551787
44544,11.621000,36933,29456,208,98897691
44672,11.650001,36636,28666,71,99273041
44800,11.738001,36656,27284,150,99604855
44928,11.826000,37248,28010,216,99893875
45056,11.795001,37673,28031,302,100262982
45184,11.826000,37382,29881,133,100515193
45312,11.845000,37547,28060,127,100847859
45440,11.936001,37946,33376,157,101123529
45568,11.928000,37713,32290,123,101481835
45696,11.935000,38245,31034,190,101751427
45824,12.003000,37801,34185,218,102135744
45952,12.068001,38346,37249,225,102371957
46080,12.267000,38676,32867,164,102717697
46208,12.112000,38607,34720,169,102993493
46336,12.238001,38738,29798,115,103343800
46464,12.211000,38425,31697,225,103689649
46592,12.223001,39157,35176,190,103965711
46720,12.272000,39361,34751,108,104251859
46848,12.293000,39601,32731,58,104547598
46976,12.335001,39781,38055,237,104800864
47104,12.353001,40468,35104,278,105075898
47232,12.375001,39908,31994,92,105407361
47360,12.443001,39947,31638,72,105806741
47488,12.446001,40280,30997,136,106072007
47616,12.532001,40617,39334,171,106285580
47744,12.554001,40345,34711,221,106636473
47872,12.580001,40404,35000,239,107069157
48000,12.619000,40781,36942,157,107304474
48128,12.675000,40875,34549,135,107662105
48256,12.740001,41493,39519,235,107876485
48384,12.699000,41428,34935,230,108207168
48512,12.733001,41105,29803,191,108499946
48640,12.822001,41520,36115,188,108876443
48768,12.831000,41728,37020,134,109323300
48896,12.906000,41840,34967,210,109542457
49024,12.908001,41813,33689,165,109833569
49152,12.953001,42173,35013,174,110217046
49280,12.998000,42046,35104,196,110582422
49408,13.037001,42189,35813,159,110806738
49536,13.089001,42614,34041,125,111002507
49664,13.079000,42821,36931,140,111421910
49792,13.134001,42424,37940,157,111742536
49920,13.200001,43042,41782,235,111988463
50048,13.195001,43089,37683,317,112225447
50176,13.284000,43246,40299,197,112724531
50304,13.308001,43509,39556,106,113038929
50432,13.290001,43548,38345,194,113321140
50560,13.524000,43473,34961,154,113642352
50688,13.373001,43706,39809,165,113937127
50816,13.534000,44138,40385,156,114318420
50944,13.466001,44131,33958,151,114551807
51072,13.705001,44442,38842,309,114941531
51200,13.581000,44232,37500,237,115402212
51328,13.612000,44737,36652,135,115717885
51456,13.652000,44744,38502,153,116059149
51584,13.690001,44964,40983,215,116327815
51712,13.734000,44679,39154,183,116595813
51840,13.755001,44893,39938,196,116890524
51968,13.784000,45213,41907,177,117169631
52096,13.905001,45429,43681,225,117447911
52224,13.827001,45359,39358,130,117814294
52352,13.832001,45917,40915,180,118096095
52480,13.910001,45732,44724,234,118314487
52608,13.954000,46007,38620,202,118639736
52736,13.935000,46126,40057,199,118968192
52864,14.013000,46370,41115,130,119245071
52992,14.063001,46367,41559,170,119497051
53120,14.129001,46478,37357,246,119767886
53248,14.158001,47129,41569,268,120173782
53376,14.094001,46624,41677,377,120471974
53504,14.203001,46815,40916,188,120779545
53632,14.216001,47015,42079,199,120994788
53760,14.530001,46597,41088,217,121346516
53888,14.352000,47081,42452,263,121674536
54016,14.344001,47348,42469,244,121983942
54144,14.370001,47190,43105,178,122235808
54272,14.412001,47571,41057,212,122577635
54400,14.466001,47919,45007,185,122969662
54528,14.495001,47875,44968,203,123284794
54656,14.530001,48134,45390,207,123575317
54784,14.571001,48201,43901,356,123977521
54912,14.553000,48208,42813,173,124285315
55040,14.601001,48280,41667,157,124597601
55168,14.641001,48378,41159,177,124918977
55296,14.793001,48692,43887,260,125337221
55424,14.722001,48422,41349,210,125600868
55552,14.733001,48590,46468,286,125892966
55680,14.941001,49538,45817,137,126157507
