Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions,Total cycles
64768,19.026001,59937,68955,19354,131328827,63087901
64896,19.353001,60318,63720,12684,131478968,63284893
65024,19.222000,61137,69078,20452,131741523,63304716
65152,19.204000,60502,71163,18870,131894007,63314968
65280,19.218000,61477,65847,12119,132184147,63435408
65408,19.374001,61686,73704,22477,132460079,63697631
65536,19.639002,61346,71490,22999,132751307,63858211
65664,19.334002,61113,74501,22015,133033883,63883229
65792,19.287001,61676,72991,11963,133263702,63955224
65920,19.357000,62091,69900,13116,133579422,64124355
66048,19.466002,61718,70706,20465,133911367,64332645
66176,19.062000,61617,68761,12172,134202306,64362728
66304,19.473001,62185,69928,20371,134492812,64613656
66432,19.600000,62604,72810,18365,134787542,64743976
66560,19.540955,62078,73690,19497,135128592,64927184
66688,19.611000,62608,71451,13306,135446642,64995577
66816,19.780001,63039,74430,40966,135800892,65405951
66944,19.737001,63148,75838,27883,135907167,65282244
67072,19.750000,63227,68813,20817,136274218,65382119
67200,19.885000,63162,72013,39369,136455528,65573160
67328,19.761002,63151,73837,20433,136751622,65609453
67456,19.985001,63771,75795,21396,136937482,65741399
67584,20.110001,64362,81676,31238,137226132,66047014
67712,19.864000,64061,77605,14593,137538837,65972124
67840,19.981001,63975,73682,22076,137726112,66140256
67968,19.932001,64402,75177,20483,138030287,66326791
68096,20.145000,64751,72404,21387,138339177,66442621
68224,20.073002,64999,72401,21426,138656352,66603063
68352,20.234001,65216,71832,20617,138889892,66697489
68480,20.128000,64984,74352,20471,139149907,66753359
68608,20.168001,65387,72369,21429,139425272,66979490
68736,20.318001,65309,70151,21666,139732658,67053219
68864,20.294001,65513,73428,21053,140096544,67218459
68992,20.351002,65614,74172,15981,140265443,67254094
69120,20.518002,66058,75408,22379,140557698,67880565
69248,20.379002,65841,72674,20410,140774493,67563791
69376,20.508001,66299,77343,22782,141092413,67753354
69504,20.456001,66149,79061,21272,141394058,67816206
69632,20.511002,66584,74943,21252,141724307,67988796
69760,20.720001,66605,80964,22723,141995352,68100810
69888,20.495001,66666,80031,24452,142236882,68273774
70016,20.621000,67211,77192,29587,142542547,68448611
70144,20.676001,67101,78361,24462,142823172,68549619
70272,20.786001,67584,78659,23235,143037162,68683701
70400,20.807001,67370,75530,21773,143337322,68811029
70528,20.846001,67451,76067,22072,143644197,68965555
70656,20.808001,67837,78991,21223,143999762,69083772
70784,21.090000,68068,86634,28148,144301587,69331542
70912,20.941002,68029,82480,22818,144575077,69440869
71040,20.952002,68297,79492,32681,144731612,69463681
71168,21.135000,68370,80335,22641,145032299,69617026
71296,21.046001,68219,81658,24150,145228449,69683931
71424,21.857000,70149,91931,57713,145535829,70474227
71552,20.912001,68725,79802,24086,145765294,69880606
71680,21.221001,68976,78278,26614,146106310,70318621
71808,21.176001,69083,73128,24044,146342848,70204199
71936,21.177002,69521,79523,25562,146656993,70412261
72064,21.310001,69769,80855,24443,146880026,70492617
72192,21.336975,69555,83511,25365,147258089,70638870
72320,21.155001,69635,80904,22694,147501663,70737321
72448,21.485001,70294,78103,22188,147786295,70911592
72576,21.429001,70048,84480,26603,147995424,71001751
72704,21.498001,70137,79532,25140,148220659,71073717
72832,21.565001,70556,78998,24706,148514030,71305119
72960,21.598001,70927,83376,25228,148797493,71438394
73088,21.686001,70763,82422,24997,149069373,71646915
73216,21.837002,70382,76627,22681,149333850,71711679
73344,21.784000,70705,82139,25018,149733164,71955259
73472,21.717001,71240,83980,24530,150073333,71966829
73600,21.794001,71429,82013,23262,150363944,72177842
73728,21.943001,72035,80465,23474,150733380,72414017
73856,21.974001,71691,82673,23622,151004229,72485775
73984,22.024000,72288,84646,25012,151293604,72686939
74112,22.078001,71656,82894,26231,151532249,72829673
74240,21.886002,71925,86676,25279,151945690,72915590
74368,22.079000,72273,77810,22640,152192640,73138318
