Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
44160,29.944002,104637,103815,667,269472423
44288,29.986002,105329,89886,418,270323176
44416,30.093002,105017,95084,446,271173928
44544,30.104002,105196,92673,569,272017640
44672,30.743002,106812,92621,545,272868531
44800,30.303955,106141,88561,661,273712244
44928,30.450001,108145,87098,506,274555956
45056,30.487001,106814,94720,636,275392230
45184,30.660002,107697,97125,653,276257210
45312,30.709002,107726,96285,389,277115002
45440,30.849001,108586,97870,763,277972793
45568,31.072002,107258,95482,655,278823548
45696,31.016001,108848,94632,562,279681339
45824,31.144001,109274,99459,527,280532092
45952,31.163002,110417,96884,492,281382843
46080,31.433001,109835,96371,649,282226419
46208,31.475002,110301,105228,707,283084353
46336,31.507002,111156,100888,706,283935105
46464,31.563002,111136,96095,368,284785857
46592,31.788002,111912,97312,522,285629570
46720,31.793001,112612,109977,397,286480462
46848,31.992001,113477,104958,570,287324174
46976,32.116001,114034,101564,747,288167886
47104,32.246002,112817,98637,673,289004418
47232,32.191002,113752,107543,505,289862352
47360,32.333000,113073,102524,454,290713104
47488,32.408001,114302,106946,505,291563856
47616,32.476002,113967,108451,451,292407570
47744,32.662003,113744,102615,359,293258461
47872,32.702000,115843,114656,666,294101277
48000,32.773003,116675,116293,671,294944989
48128,32.829002,115740,108451,591,295781524
48256,33.032001,116527,98378,596,296632419
48384,33.027000,117141,109152,555,297476130
48512,33.211002,115247,111435,436,298319843
48640,33.169003,117433,102667,638,299156516
48768,33.252003,118032,98537,446,300000368
48896,33.404003,118422,109654,686,300837039
49024,33.483002,118779,113706,636,301673711
49152,33.676003,119063,109518,779,302502923
49280,33.572002,117627,111989,568,303374794
49408,33.788940,120181,107693,501,304239627
49536,33.816002,118572,102077,358,305104458
49664,34.044003,119513,103035,525,305962253
49792,34.107002,119445,114151,591,306827223
49920,34.170002,121321,112215,435,307685400
50048,34.310001,121391,107879,525,308543191
50176,34.331001,120472,104462,590,309393806
50304,34.500000,122667,111021,571,310258781
50432,34.706001,122568,114974,584,311116573
50560,34.553001,121642,110776,661,311974365
50688,34.763000,122860,111607,816,312825119
50816,34.759003,124347,110646,529,313683050
50944,34.882000,123597,106986,575,314533802
51072,35.187000,125516,112857,888,315384554
51200,35.204002,123670,121467,546,316227987
51328,35.194000,124523,110215,629,317092961
51456,35.302002,125197,111061,585,317950753
51584,35.426941,125282,119239,761,318808546
51712,35.558002,125682,116059,731,319659299
51840,35.525002,126774,112340,508,320517229
51968,35.604000,126898,116595,592,321367982
52096,35.762001,127618,107675,566,322218734
52224,35.858002,127200,107599,644,323062309
52352,36.024002,127668,118238,672,323920244
52480,35.908001,127790,126174,415,324770995
52608,36.195004,129011,119890,647,325621748
52736,36.307003,128326,117210,745,326465461
52864,36.274002,129005,132775,529,327316352
52992,36.465000,130310,118111,536,328160063
53120,36.479000,130734,123838,740,329003776
53248,36.539001,130021,117815,638,329840027
53376,36.699001,129761,115257,814,330705006
53504,36.749001,130538,124781,1039,331562798
53632,36.889000,130434,116858,855,332420590
53760,36.948002,131393,120834,616,333271344
53888,37.951000,132503,119109,1202,334129275
54016,37.259003,132434,128071,960,334980028
54144,37.230003,132319,123022,699,335830779
54272,37.566002,133940,134653,1362,336674354
54400,37.524002,133770,143471,726,337532288
54528,37.556004,134215,135211,508,338383041
54656,37.832001,135905,131927,1255,339233796
54784,37.962002,134026,126167,788,340077508
54912,37.838001,136307,130076,531,340928398
55040,37.883003,137747,139649,681,341772109
55168,41.798000,135838,124937,5594,342615822
55296,38.015003,136486,121171,779,343452214
55424,38.213001,136465,140478,506,344310148
55552,38.451000,137973,130570,769,345160900
55680,38.384003,138081,130602,706,346011653
55808,38.390003,137940,133934,621,346855367
55936,38.581001,139995,129957,753,347706258
56064,38.638000,138893,125428,513,348549969
56192,38.768002,139665,136080,572,349393682
56320,38.826000,139055,132963,707,350230216
56448,38.817001,138879,124692,583,351081111
56576,39.044003,139774,141114,768,351924824
56704,39.367001,140086,139991,677,352768536
56832,39.157001,140385,139224,552,353605209
56960,39.348003,144074,144368,664,354441976
57088,39.523003,143814,148465,780,355278620
57216,39.498001,144781,143449,516,356115292
57344,39.683002,141936,152388,907,356951468
57472,39.859001,144217,141282,594,357816300
57600,39.766003,143739,136840,556,358674098
57728,39.970001,143728,143739,708,359531884
57856,40.093002,143829,159018,806,360382638
57984,40.064003,145817,143394,881,361240570
58112,40.134003,145690,165169,1293,362091321
58240,40.157001,145823,138486,968,362942073
58368,40.245003,144128,134512,816,363785648
58496,40.400002,145782,130362,896,364643441
58624,40.774002,146060,137938,1139,365494192
58752,40.734001,146475,138507,952,366344946
58880,40.550003,148201,133878,1075,367188658
59008,40.817001,147801,145596,793,368039410
59136,40.637001,150360,127542,750,368883122
59264,40.988003,151243,147499,756,369726834
59392,41.179001,149302,150663,672,370563227
59520,41.198002,149973,144410,500,371421161
59648,41.233002,148883,135821,784,372271913
59776,41.216003,148671,141601,584,373122665
59904,41.213001,149623,140843,645,373966378
60032,41.427002,150083,134111,982,374817271
60160,41.687000,151379,147815,579,375660982
60288,41.574001,151906,143485,567,376504694
60416,41.585003,151066,156668,522,377341368
60544,41.918003,152739,146442,838,378192260
60672,41.883003,153440,138659,1094,379035971
60800,41.915001,152918,139979,771,379879684
60928,42.093002,153394,145910,731,380716358
61056,42.120003,154449,152972,755,381560208
61184,42.171001,156038,151722,735,382396881
61312,42.327942,154980,141248,800,383233552
