Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
45568,38.937000,110006,104914,13864,278823550
45696,39.057003,112791,116582,9759,279681344
45824,39.145000,113324,109445,14154,280532094
45952,39.320004,112004,107767,22853,281382846
46080,39.583984,115993,122556,22342,282226421
46208,39.826000,113587,116814,20320,283084357
46336,39.638000,114767,115749,9739,283935107
46464,41.814003,136247,150254,40450,284785862
46592,39.847000,114751,105551,9204,285629573
46720,40.030003,115518,107736,8650,286480465
46848,40.245003,116381,117888,13693,287324177
46976,40.199001,116925,115332,15331,288167889
47104,40.345001,115283,113584,12075,289004423
47232,40.415001,114896,112416,13479,289862354
47360,40.523003,116319,107805,8042,290713106
47488,40.555000,115773,115156,10258,291563858
47616,40.788002,117418,118344,15777,292407573
47744,41.635002,129189,138442,22977,293258464
47872,41.090000,118144,119881,13514,294101280
48000,41.551003,125010,135747,17328,294944993
48128,41.319000,119880,124620,12628,295781527
48256,41.394001,120234,123457,12327,296632421
48384,41.989002,127639,134947,22923,297476133
48512,41.758003,123762,132665,13481,298319845
48640,41.793003,123739,130459,16968,299156518
48768,41.940002,124637,137899,13401,300000368
48896,42.045002,123059,124195,23666,300837045
49024,42.187000,123951,126911,15487,301673715
49152,42.383003,123656,142172,20502,302502926
49280,42.455002,124237,130324,24468,303374799
49408,42.472000,123334,118900,18944,304239630
49536,42.744934,122823,122193,11201,305104462
49664,42.864002,123244,119285,12771,305962255
49792,43.168003,124329,126955,13822,306827229
49920,43.157001,125860,127142,12174,307685404
50048,44.183002,128724,143151,12975,308543206
50176,43.597004,125654,134820,12181,309393812
50304,44.017002,130130,152712,54746,310258786
50432,43.739002,128748,140493,16046,311116576
50560,43.765003,129256,147642,13382,311974372
50688,43.735001,128290,133072,14385,312825121
50816,44.023003,130494,138575,17445,313683053
50944,43.898003,129471,134765,10981,314533804
51072,44.218002,132954,142638,16103,315384556
51200,44.163002,128949,136507,13413,316227990
51328,44.471001,129698,138475,16884,317092969
51456,44.300003,128907,131828,11601,317950755
51584,46.111004,141187,153539,39732,318808548
51712,44.508003,126985,123664,11610,319659301
51840,44.628002,127375,118476,15895,320517232
51968,44.974003,130296,127306,21340,321367986
52096,44.974003,130011,124020,11266,322218736
52224,45.018002,129176,120959,11818,323062312
52352,45.201004,130538,133013,16763,323920244
52480,45.220001,129233,122831,14297,324770997
52608,45.524002,131601,135286,24579,325621751
52736,45.524002,130897,140009,21172,326465463
52864,45.670959,131420,131476,11358,327316355
52992,45.689003,130556,130247,13403,328160066
53120,45.811001,133125,129213,12059,329003778
53248,45.958004,132274,128405,16075,329840030
53376,46.093002,131715,125467,12305,330705008
53504,46.176003,131888,126714,16449,331562802
53632,46.328003,131900,127533,13968,332420593
53760,46.459003,132504,129365,20910,333271348
53888,46.513000,132883,127065,11347,334129277
54016,46.685001,134537,137809,14389,334980030
54144,47.357002,141361,152199,31719,335830782
54272,46.926003,134837,141928,16983,336674357
54400,48.306004,139186,138797,30402,337532291
54528,47.207001,134200,128928,15078,338383043
54656,48.624001,142412,138325,24659,339233797
54784,47.475002,137419,136849,15696,340077509
54912,47.980003,144877,159510,23956,340928400
55040,47.609001,137430,128151,15190,341772112
55168,48.890003,144598,161363,25045,342615824
55296,47.840004,138005,137770,17219,343452217
55424,47.947002,138837,138770,16761,344310151
55552,48.072002,137168,136887,18298,345160903
55680,48.322002,142731,164907,25319,346011658
55808,48.524002,142654,160487,25955,346855382
55936,48.499001,142701,150827,25688,347706260
56064,48.531002,141776,144112,16991,348549972
56192,48.735001,143287,142096,18746,349393686
56320,48.763000,140335,140192,21387,350230219
56448,48.885002,141608,133504,13696,351081113
56576,48.998001,142038,144911,23268,351924826
56704,49.162003,141609,143465,20871,352768538
56832,50.133003,144921,140073,16930,353605212
56960,49.559002,144946,140195,22378,354441979
57088,49.461002,143606,135040,15548,355278623
57216,49.634003,144995,148013,20056,356115294
57344,50.479004,152087,172363,24439,356951481
57472,49.952942,147041,160815,23823,357816303
57600,50.368004,144551,154834,26767,358674096
57728,50.074001,146470,155961,18952,359531887
57856,50.229004,144952,138582,15024,360382641
57984,50.498001,148988,163346,24972,361240572
58112,51.775002,158418,169999,34911,362091324
58240,50.466003,147896,140386,19783,362942076
58368,50.629002,147313,138934,23679,363785651
58496,50.738003,146612,147013,26466,364643442
58624,50.918003,150893,169223,23781,365494195
58752,51.894001,158095,187717,40320,366344950
58880,51.169003,153538,171679,29873,367188662
59008,51.301003,155196,173884,17914,368039413
59136,51.423004,156339,167613,24168,368883125
59264,51.449001,152921,162915,15968,369726838
59392,51.588001,151125,151680,15476,370563230
59520,51.775002,151277,148208,18952,371421165
59648,51.653004,149799,144653,14716,372271916
59776,52.960003,160335,171634,23758,373122669
59904,51.918003,149860,145376,16568,373966381
60032,52.592003,157591,166502,43207,374817274
60160,52.175003,153417,162127,24626,375660985
